book_id	title
339	Perfumes, Splashes  Colognes: Discovering and Crafting Your Personal Fragrances
341	Perfume Dreams: Reflections on the Vietnamese Diaspora
347	Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein
349	The Moon is a Harsh Mistress
350	Stranger in a Strange Land
354	To Sail Beyond the Sunset
355	Job: A Comedy of Justice
357	The Long Dark Tea-Time of the Soul (Dirk Gently, #2)
358	Dirk Gently's Holistic Detective Agency (Dirk Gently #1)
359	The Salmon of Doubt (Dirk Gently, #3)
361	Life, the Universe and Everything (Hitchhiker's Guide, #3)
363	The Long Dark Tea-Time of the Soul (Dirk Gently, #2)
365	Dirk Gently's Holistic Detective Agency (Dirk Gently #1)
367	Douglas Adams's Starship Titanic
371	The Salmon of Doubt
372	The Salmon of Doubt: Hitchhiking the Galaxy One Last Time
374	Salmon Doubts
378	The Phantom Tollbooth
385	On Bullshit
386	Another Bullshit Night in Suck City
387	100 Bullshit Jobs...And How to Get Them
394	Lincoln at Gettysburg: The Words That Remade America
397	The Gettysburg Address
399	Underworld
400	Libra
402	Mao II
403	Americana
404	Running Dog
406	Cosmopolis
407	Great Jones Street
410	V.
411	The Crying of Lot 49
412	Gravity's Rainbow
413	Mason & Dixon
414	Vineland
415	Gravity's Rainbow
416	Slow Learner: Early Stories
419	Vintage Didion
420	The Year of Magical Thinking
421	The White Album
422	A Book of Common Prayer
423	Where I Was From
424	Slouching Towards Bethlehem
425	Democracy
426	We Tell Ourselves Stories in Order to Live: Collected Nonfiction
427	Miami
428	Play It as It Lays
431	The New York Trilogy
432	City of Glass (The New York Trilogy, #1)
433	The New York Trilogy: City of Glass / Ghosts / The Locked Room
434	Ghosts (The New York Trilogy, #2)
435	The Locked Room (The New York Trilogy, #3)
436	La trilogía de Nueva York
440	New York Nights (Virex Trilogy, #1)
446	The Brooklyn Follies
447	Moon Palace
448	A Tomb for Anatole: Poetry
449	Timbuktu
450	Neon Lit: Paul Auster's City of Glass
451	True Tales of American Life
453	The Music of Chance
454	Travels in the Scriptorium
455	In the Country of Last Things
456	Leviathan
458	Oracle Night
459	The Random House Book of 20th Century French Poetry
461	The Inner Life of Martin Frost
462	Disappearances
463	The Red Notebook: True Stories
470	The Art of Hunger: Essays, Prefaces, Interviews, The Red Notebook
472	Why Write?
475	Collapse: How Societies Choose to Fail or Succeed
476	The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel
477	The Collapse of Complex Societies
478	Bowling Alone: The Collapse and Revival of American Community
479	The Collapse of Evolution
482	Armageddon Averted: The Soviet Collapse, 1970-2000
484	Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America
493	My Inventions
495	Colorado Springs Notes, 1899-1900
496	The Lost Journals of Nikola Tesla: HAARP - Chemtrails and the Secret of Alternative 4
500	Problem of Increasing Human Energy
503	How Invention Begins: Echoes of Old Voices in the Rise of New Machines
507	Amazing Leonardo da Vinci Inventions: You Can Build Yourself
519	Rails Recipes
520	Learn to Program
524	Lord of the Flies
525	Lord of the Flies
528	Lord of the Flies (SparkNotes Literature Guides)
530	Lord of the Flies
531	A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War
536	The Lovely Bones
537	The Lovely Bones
555	The Modern Gentleman: A Guide to Essential Manners, Savvy and Vice
556	The Chap Manifesto: Revolutionary Etiquette for the Modern Gentleman
557	The Compleat Gentleman: The Modern Man's Guide to Chivalry
563	CSS Mastery: Advanced Web Standards Solutions
564	Head First HTML with CSS & XHTML
565	The Zen of CSS Design: Visual Enlightenment for the Web
569	HTML Utopia
570	HTML, XHTML, and CSS
572	1,000 Places to See in the U.S.A. & Canada Before You Die
576	1000 Record Covers
580	Top 1000 Albums of All Time
582	1000 Families
586	Art of Modern Rock: The Poster Explosion
589	A Field Guide to Rock Art Symbols of the Greater Southwest
595	Flash to the Core: An Interactive Sketchbook by Joshua Davis
597	Killing Yourself to Live: 85% of a True Story
602	Sex, Drugs, Rock and Roll
604	Reefer Madness: Sex, Drugs, and Cheap Labor in the American Black Market
605	Life and Def: Sex, Drugs, Money, + God
606	The Vice Guide to Sex and Drugs and Rock and Roll
612	An ABC of Vice: An Insatiable Women's Guide, Alphabetized
616	Vice & Virtue in Everyday Life: Introductory Readings in Ethics
617	Vice Cream: Over 70 Sinfully Delicious Dairy-Free Delights
618	Vice Dos and Don'ts: 10 Years of VICE Magazine's Street Fashion Critiques
619	Vice (V, #8)
621	The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich
622	The Automatic Millionaire Homeowner: A Powerful Plan to Finish Rich in Real Estate
629	Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values
632	The Motorcycle Diaries: Notes on a Latin American Journey
639	Once Upon a Cool Motorcycle Dude
640	Life Is a Road, the Soul Is a Motorcycle
642	Guidebook to Zen and the Art of Motorcycle Maintenance
643	Motorcycle Basics Techbook
647	No Logo
649	Logo Design Workbook: A Hands-On Guide to Creating Logos
654	Great Short Works
655	The Death of Ivan Ilych And Other Stories
657	Tolstoy Lied: A Love Story
658	The Kingdom of God Is Within You
659	Walk in the Light & Twenty-Three Tales
660	The Poet of Tolstoy Park
661	Hunters Of Dune (Dune Chronicles, #7)
662	Atlas Shrugged
663	For the New Intellectual: The Philosophy of Ayn Rand
664	The Fountainhead
665	The Virtue of Selfishness: A New Concept of Egoism
666	Ayn Rand Answers: The Best of Her Q & A
668	We the Living
669	Capitalism: The Unknown Ideal
673	The Complete Sailor: Learning the Art of Sailing
675	Sailing from Byzantium: How a Lost Empire Shaped the World
676	Sailing Alone Around the Room: New and Selected Poems
677	Learning to Sail: The Annapolis Sailing School Guide for Youlearning to Sail: The Annapolis Sailing School Guide for Young Sailors of All Ages Ng Sailors of All Ages
683	Natural Capitalism
685	The Natural
691	Trek David Carson, Recent Werk
698	Digging to America
700	Rereading America: Cultural Contexts for Critical Thinking and Writing
703	The Plot Against America
704	Covenant with Black America
705	Democracy in America
706	America (The Book): A Citizen's Guide to Democracy Inaction
707	Naked Pictures of Famous People
710	Swiss Graphic Design: The Origins and Growth of an International Style, 1920-1965
759	Collected Stories
760	Memories of My Melancholy Whores
761	El otoño del patriarca
762	Crónica de una muerte anunciada
763	Cien años de soledad
764	Del amor y otros demonios
765	Living to Tell the Tale
771	The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory
773	The ELEGANT UNIVERSE S.S.
776	Buddhism Plain and Simple
777	Buddhism Is Not What You Think: Finding Freedom Beyond Beliefs
781	The Shaolin Way: 10 Modern Secrets of Survival from a Shaolin Grandmaster
782	Meditation, Compassion & Lovingkindness: An Approach to Vipassana Practice
790	Rough Guide Directions: London
806	Encyclopedia of Thai Massage
816	Cryptonomicon
819	Cryptonomicon
820	Golgotha (Cryptonomicon, #3)
822	The Confusion (The Baroque Cycle, #2)
823	Quicksilver (The Baroque Cycle, #1)
824	The Cobweb
825	Zodiac
826	The Big U
827	The Diamond Age: or, A Young Lady's Illustrated Primer
828	Interface
829	Odalisque (The Baroque Cycle, Vol. 1, Book 3)
830	Snow Crash
833	Crash Course: Gross Anatomy (Crash Course Games for Brains, An Interactice Reference Book)
834	Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments, Volume II: The Endgame
840	The Design of Everyday Things
847	9/11 Descent Into Tyranny: The New World Order's Dark Plans to Turn Earth Into a Prison Planet
848	No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson
852	The Syndicate: Volumes 1 & 2
856	The Trust: The Private and Powerful Family Behind The New York Times
864	The Alchemist
865	The Alchemist
866	Fullmetal Alchemist, Vol. 9 (Fullmetal Alchemist, #9)
870	Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)
871	Fullmetal Alchemist, Vol. 4 (Fullmetal Alchemist, #4)
872	The Illustrated Alchemist: A Fable about Following Your Dream
873	Fullmetal Alchemist, Vol. 2 (Fullmetal Alchemist, #2)
874	The Kite Runner
880	Pompeii
881	Pompeii...Buried Alive!
886	Pompeii: The Day a City Died
887	Pompeii: Public and Private Life
888	The Last Days of Pompeii
889	Escape From Pompeii
890	Of Mice and Men
892	Of Mice and Men
893	Of Mice and Men
899	Of Mice and Men
900	The Game: Penetrating the Secret Society of Pickup Artists
901	Ender's Game (Ender's Saga, #1)
902	The Westing Game
903	The Egypt Game (Game, #1)
904	The Game Maker's Apprentice: Game Development for Beginners
906	Game of Shadows: Barry Bonds, BALCO, and the Steroids Scandal that Rocked Professional Sports
908	Jim Cramer's Real Money: Sane Investing in an Insane World
909	Jim Cramer's Mad Money: Watch TV, Get Rich
910	Trading with the Enemy: Seduction and Betrayal on Jim Cramer's Wall Street
912	Rich Dad, Poor Dad
915	A Lonely Resurrection (John Rain, #2)
916	And a Hard Rain Fell
929	Memoirs of a Geisha
930	Memoirs of a Geisha
932	Memoirs of a Geisha: A Portrait of the Film
933	Memoirs of a Geisha
935	Geisha of Gion
936	Memoirs Of A Geisha
938	How to Make Anyone Fall in Love with You
941	Love As A Foreign Language #5
943	Marriage Special Package- 2 books- Five Love Languages/Fight Fair
947	First Impressions
951	The Five Love Languages: Men's Edition: How to Express Heartfelt Commitment to Your Mate
952	The Five Love Languages of Children
957	Five Love Languages Journal: How To Express Heartfelt Commitment To Your Mate
965	Ángeles y demonios (Robert Langdon, #1)
966	Angeles & Demonios
968	The Da Vinci Code (Robert Langdon, #2)
970	Fodor's Guide to The Da Vinci Code: On the Trail of the Bestselling Novel
971	The Truth Behind the Da Vinci Code: A Challenging Response to the Bestselling Novel
972	Da Vinci Code (Robert Langdon, #2)
974	The Da Vinci Code: Fact or Fiction?
975	Deception Point
976	Deception Point
977	Deception Point
979	Deception Point
987	A Killing Rain (Louis Kincaid, #6)
991	Eye of the Storm (Hudson, #3)
996	What Every Real Estate Investor Needs to Know about Cash Flow... And 36 Other Key Financial Measures
998	The Millionaire Next Door: The Surprising Secrets of Americas Wealthy
1000	Millionaire Women Next Door: The Many Journeys of Successful American Businesswomen
1001	Millionaire Women Next Door: The Many Journeys of Successful American Businesswomen
1004	Think and Grow Rich
1005	Think and Grow Rich
1006	Think and Grow Rich!
1007	Think and Grow Rich
1014	Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series)
1015	Version Control with Subversion
1018	Bodies of Subversion: A Secret History of Women and Tattoo
1022	Read My Lips: Sexual Subversion and the End of Gender
1023	101 Ways to Massively Increase the Value of Your Real Estate without Spending Much Money
1030	Real Estate Riches: How to Become Rich Using Your Banker's Money
1032	Trump: The Art of the Deal
1033	Trump Strategies for Real Estate: Billionaire Lessons for the Small Investor
1035	Trump: How to Get Rich
1036	Trump: The Way to the Top: The Best Business Advice I Ever Received
1039	How to Build a Fortune [With CD-ROM with Workbook and Trump Cards and DVD]
1041	Trump: The Best Real Estate Advice I Ever Received: 100 Top Experts Share Their Strategies
1044	Maybe You Never Cry Again
1047	The Beginner's Guide to Real Estate Investing
1052	The Richest Man in Babylon
1053	The Richest Man in Babylon
1054	Richest Man In Babylon For Today
1057	The Richest Man in Babylon
1059	Shibumi
1061	Trevanian: Four Complete Novels: The Eiger Sanction / The Loo Sanction / The Main / Shibumi
1063	Shibumi
1064	Shibumi
1067	1776
1075	Gap Creek
1077	Gap Creek: A Novel
1078	The Good Earth (House of Earth, #1)
1079	For the Good of the Earth and Sun: Teaching Poetry
1083	The Good Earth
1085	Good Earth
1088	The Purpose-Driven Life
1090	Purpose Driven Life - For Commuters: What on Earth Am I Here For?
1091	Purpose Driven Life Journal: What on Earth Am I Here For?
1097	Fast Food Nation: The Dark Side of the All-American Meal
1099	Fast Food Nation: What The All-American Meal is Doing to the World
1100	Fast Food Nation: The Dark Side of the All-American Meal
1102	Fast Food Nation: What the All-American Meal Is Doing to the World
1103	Snow Flower and the Secret Fan
1110	The Broker
1113	21 Things I Wish My Broker Had Told Me: Practical Advice for New Real Estate Professionals
1115	Body Brokers: Inside America's Underground Trade in Human Remains
1116	The Devil's Broker: Seeking Gold, God, and Glory in Fourteenth- Century Italy
1120	Body For Life: 12 Weeks to Mental and Physical Strength
1121	Body for Life for Women: A Woman's Plan for Physical and Mental Transformation
1122	Body for Life Success Journal
1123	Eating for Life: Your Guide to Great Health, Fat Loss and Increased Energy!
1124	Body for Life for Women: 12 Weeks to a Firm, Fit, Fabulous Body at Any Age
1125	Body Life: The Book That Inspired a Return to the Church's Real Meaning and Mission
1127	Body Piercing Saved My Life: Inside the Phenomenon of Christian Rock
1130	The Warren Buffett Way
1133	Trade Like Warren Buffett
1137	Warren Buffett Wealth: Principles and Practical Methods Used by the World′s Greatest Investor
1139	The Real Warren Buffett: Managing Capital, Leading People
1142	The Winning Investment Habits of Warren Buffett & George Soros
1144	Warren Buffett: An Illustrated Biography of the World's Most Successful Investor
1155	Buffett: The Making of an American Capitalist
1160	Damn Right!: Behind the Scenes with Berkshire Hathaway Billionaire Charlie Munger
1163	Monkey Business
1164	Monkey Business: True Story of the Scopes Trial
1165	Mice, Morals, & Monkey Business
1166	Hank the Cowdog and Monkey Business (Hank the Cowdog, #14)
1167	Junie B. Jones and a Little Monkey Business (Junie B. Jones, #2)
1169	Monkey Business
1170	Monkey Business
1172	Liar's Poker
1173	Liar's Poker
1181	Simply Italian: Easy Recipes That Are Quick to Prepare, Low in Calories, and Kind to Your Budget
1191	Giada's Family Dinners
1192	Everyday Italian: 125 Simple and Delicious Recipes
1193	Everyday Pasta
1196	Tyler's Ultimate: Brilliant Simple Food to Make Any Time
1197	Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook
1198	Eat This Book: Cooking with Global Fresh Flavors
1199	Semi-Homemade: Cooking 2
1202	Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)
1203	Freakonomics: A Rogue Economist Explores The Hidden Side Of Everything
1204	Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta
1205	Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
1207	Freakonomics  - O Estranho Mundo da Economia
1213	Gentleman's GD.to Etiquette
1216	Miracle Collapse: The 1969 Chicago Cubs
1218	The Last Assassin (John Rain, #5)
1219	Sicario (John Rain, #1)
1226	Life of Pi
1227	Vida de Pi
1228	Life of Pi
1229	Life of Pi
1230	L'Histoire de Pi
1232	The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)
1233	The Shadow of the Wind
1234	Shadows and Wind: A View of Modern Vietnam
1235	La sombra del viento (El cementerio de los libros olvidados, #1)
1236	In the Shadow of the Wind
1241	A Million Little Pieces
1242	A Million Little Pieces of Feces
1243	A Million Little Lies
1244	Sandpaper Sisters
1246	The Leadership Challenge
1247	Leadership and Self-Deception: Getting Out of the Box
1248	The 21 Irrefutable Laws Of Leadership, Workbook
1249	Primal Leadership: Learning to Lead with Emotional Intelligence
1250	Leadership: Theory and Practice
1251	Leadership Is an Art
1254	The Leadership Pipeline: How to Build the Leadership-Powered Company
1258	120 Studies for Right Hand Development
1274	Men Are from Mars, Women Are from Venus
1276	Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships
1280	Men Are From Mars, Women Are From Venus: A Practical Guide For Improving Communication and Getting What You Want
1281	Men are From Mars, Women are From Venus Low Price CD
1290	How to Succeed with Women
1293	How to Succeed with Men
1294	How to Survive the IRS: My Battles Against Goliath
1295	The Clan of the Cave Bear (Earth's Children, #1)
1296	The Clan of the Cave Bear (Earth's Children, #1)
1297	The Clan of the Cave Bear, Part 1 of 2 (Earth's Children, #1)
1300	The Bad Guys Won!
1301	Moneyball: The Art of Winning an Unfair Game
1303	The 48 Laws of Power
1305	Gates of Fire: An Epic Novel of the Battle of Thermopylae
1306	Gates Of Fire
1307	Fire Sea (The Death Gate Cycle, #3)
1308	Gates of Fire: An Epic Novel of the Battle of Thermopylae
1309	Memory of Fire (The World Gates, #1)
1313	Gates of Fire
1315	The Afghan Campaign
1316	The Virtues of War: A Novel of Alexander the Great
1318	Last of the Amazons
1319	The War of Art: Break Through the Blocks & Win Your Inner Creative Battles
1322	Blood Stripes: The Grunt's View of the War in Iraq
1325	Symposium/Phaedrus
1326	Phaedrus and Letters VII and VIII
1327	Phaedrus
1328	Phaedrus
1330	Euthyphro. Apology. Crito. Phaedo. Phaedrus.
1336	Plato's Phaedrus: The Philosophy of Love
1337	Enthusiasm and Divine Madness
1341	The Fables of Phaedrus
1352	Cratylus
1353	Gorgias
1354	Gorgias
1356	Lysis/Symposium/Gorgias (Loeb Classical Library, #166)
1358	Gorgias: Encomium of Helen
1363	The Histories
1365	The Histories
1366	The Histories
1367	The Histories
1368	The Histories
1370	The Persian War
1371	The Iliad
1372	The Iliad
1373	Iliad
1374	The Iliad
1375	The Iliad/The Odyssey
1376	The Iliad
1377	The Iliad
1378	The Essential Iliad
1379	An Iliad
1380	The Iliad
1381	The Odyssey
1383	The Odyssey
1384	The Odyssey
1386	Cliffs Notes on Homer's The Odyssey
1387	The Odyssey
1390	Earth Odyssey: Around the World in Search of Our Environmental Future
1391	Aeneid: Selections from Books 1, 2, 4, 6, 10, 12
1392	Aeneid: Books I-VI
1396	Herding Dogs: Progressive Training
1399	Vergil's Aeneid: Books I-VI
1402	Eclogues. Georgics. Aeneid: Books 1-6
1403	City Eclogue
1405	The Eclogues and The Georgics
1407	The Eclogues of Virgil: A Translation
1409	The Dry Danube: A Hitler Forgery
1414	The Riverside Shakespeare
1416	The Norton Shakespeare
1417	The Complete Pelican Shakespeare
1420	Hamlet
1421	The Oxford Shakespeare: The Complete Works
1423	The Compleat Works of Wllm Shkspr
1424	The Pilgrimage: A Contemporary Quest for Ancient Wisdom
1425	The Valkyries
1426	Warrior of the Light
1427	The Zahir
1428	By the River Piedra I Sat Down and Wept
1429	The Fifth Mountain
1430	Eleven Minutes
1431	Veronika Decides to Die
1432	Hamlet
1433	Hamlet
1434	Hamlet
1436	Hamlet: An Authoritative Text, Intellectual Backgrounds, Extracts from the Sources, Essays in Criticism (Norton Critical Edition)
1437	Cliffs Notes on Shakespeare's Hamlet
1438	CliffsComplete Shakespeare's Hamlet
1439	Hamlet's Mill: An Essay Investigating  the Origins of Human Knowledge & Its Transmission Through Myth
1441	On Justice, Power and Human Nature: Selections from The History of the Peloponnesian War
1445	The Peloponnesian War
1447	Thucydides: An Introduction for the Common Reader
1449	The Peloponnesian War: A New Translation, Backgrounds, Interpretations
1457	Thucydides
1462	Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus
1464	Euripides: Ten Plays
1465	Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis
1466	Grief Lessons: Four Plays by Euripides
1467	Ten Plays
1468	Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies, #7)
1469	Bacchae
1470	Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen
1471	Three Plays of Euripides: Alcestis, Medea, the Bacchae
1472	Electra and Other Plays
1473	Medea and Other Plays: Medea / Alcestis / The Children of Heracles / Hippolytus
1476	The Bacchae and Other Plays
1477	Four Plays: Medea / Hippolytus / Heracles / Bacchae
1479	Bakkhai
1483	The Trojan Women and Other Plays
1485	Hippolytus
1491	Children of Heracles. Hippolytus. Andromache. Hecuba
1494	Alcestis
1495	Suppliant Women, Electra, Heracles
1496	Iphigenia in Aulis
1497	Three Great Plays: Medea / Hippolytus / Helen
1499	Medea
1504	Euripides: Medea
1508	Hippolytos
1510	Helen, Phoenician Women, Orestes
1512	The Hippolytus of Euripides
1513	Euripides: The Complete Plays Vol. III
1515	Alcestis/Medea/Heracleidae/Hippolytus/Cyclops/Heracles/Iphigenia in Tauris/Helen/Hecuba/Andromache/The Trojan Women (Complete Greek Tragedies, #3)
1516	Aeschylus I: Oresteia (Agamemnon, The Libation Bearers, The Eumenides)
1517	Aeschylus II: The Suppliant Maidens, The Persians, Seven against Thebes, and Prometheus Bound
1518	The Oresteia
1519	The Oresteia  (Ορέστεια, #1-3)
1521	Oresteia
1522	Suppliant Maidens/Persians/Prometheus/Seven Against Thebes (Loeb Classical Library 145)
1523	Prometheus Bound and Other Plays
1524	Agamemnon (Oresteia, #1)
1525	The Oresteia
1526	The Oresteia: Agamemnon/The Libation Bearers/The Eumenides
1527	Aeschylus: Seven Plays (Complete Greek Tragedies, #1)
1529	Aeschylus: The Oresteia
1530	The Oresteia: Agamemnon, Choephoroe & Eumenides (Everyman's Library, No. 260)
1531	Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound
1532	The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies
1535	Sophocles I: Oedipus The King, Oedipus at Colonus, Antigone (The Complete Greek Tragedies, #8)
1536	Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4)
1537	The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone
1538	The Complete Plays
1539	The Complete Plays of Sophocles
1540	The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)
1541	Antigone
1542	The Three Theban Plays: Antigone / Oedipus the King / Oedipus at Colonus
1543	Ajax/Electra/Oedipus Tyrannus
1544	Antigone
1546	Theban Plays
1548	Electra and Other Plays
1549	Antigone / Oedipus the King / Electra
1550	Sophocles' Antigone
1554	Oedipus Rex  (The Theban Plays, #1)
1558	Oedipus Rex
1559	Oedipus the King
